,Identifies_the_type_of_dwelling,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,Lot_configuration,LandSlope,Neighborhood,Condition1,Condition2,Type_of_dwelling,HouseStyle,OverallQual,OverallCond,YearRemodAdd,RoofStyle,Roof_material,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical_system,1stFlrSF,Low_quality_finished_square_feet,GrLivArea,BedroomAbvGr,KitchenAbvGr,Kitchen_Quality,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,Garage_location,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,Garage_condition,Paved driveway,Pool_quality,Fence_Quality,Miscellaneous_feature,miscellaneous_feature,MoSold,YrSold,SaleType,SaleCondition,SalePrice,PricePerSqFt,AgeAtSale,TotalSqFt,TotalBathrooms,TotalPorchArea,TotalFinishedSqFt,TotalQualityScore,TotalGarageScore,TotalOutdoorArea,DateSold,Sentiment
16,1-STORY 1946 & NEWER ALL STYLES,RL,0,11241,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,Gable,CompShg,Wd Sdng,Wd Sdng,180,TA,TA,CBlock,TA,TA,No,ALQ,Unf,426,1004,GasA,Ex,Y,SBrkr,1004,0,1004,2,1,TA,5,Typ,1,TA,Attchd,1970,Fin,2,480,TA,TA,Y,No,No,Shed,700,Mar,2010,WD,Normal,149000,74.20318725099601,40,2008,1.0,0,1582,13,960,0,2010-03-01,0.0
17,DUPLEX - ALL STYLES AND AGES,RL,72,10791,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,Gable,CompShg,MetalSd,MetalSd,0,TA,TA,Slab,No,No,No,No,No,0,0,GasA,TA,Y,SBrkr,1296,0,1296,2,2,TA,6,Typ,0,No,CarPort,1967,Unf,2,516,TA,TA,Y,No,No,Shed,500,Oct,2006,WD,Normal,90000,69.44444444444444,39,1296,2.0,0,1296,9,1032,0,2006-10-01,0.0
18,1-STORY 1946 & NEWER ALL STYLES,RL,66,13695,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,Gable,CompShg,VinylSd,VinylSd,0,TA,TA,PConc,TA,TA,No,GLQ,Unf,468,1114,GasA,Ex,Y,SBrkr,1114,0,1114,3,1,Gd,6,Typ,0,No,Detchd,2004,Unf,2,576,TA,TA,Y,No,No,No,0,Jun,2008,WD,Normal,159000,71.36445242369838,4,2228,1.5,102,1760,10,1152,102,2008-06-01,0.0
19,1-STORY 1946 & NEWER ALL STYLES,RL,70,7560,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1965,Hip,CompShg,BrkFace,Plywood,0,TA,TA,CBlock,TA,TA,No,LwQ,Unf,525,1029,GasA,TA,Y,SBrkr,1339,0,1339,3,1,TA,6,Min1,0,No,Attchd,1958,Unf,1,294,TA,TA,Y,No,MnPrv,No,0,May,2009,COD,Abnorml,139000,58.69932432432432,51,2368,1.0,0,1843,11,294,0,2009-05-01,0.0
20,2-STORY 1946 & NEWER,RL,101,14215,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2006,Gable,CompShg,VinylSd,VinylSd,380,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1158,1158,GasA,Ex,Y,SBrkr,1158,0,2376,4,1,Gd,9,Typ,1,Gd,BuiltIn,2005,RFn,3,853,TA,TA,Y,No,No,No,0,Nov,2006,New,Partial,325300,92.0486700622524,1,3534,3.5,154,2376,13,2559,394,2006-11-01,0.0
21, 1-1/2 STORY - UNFINISHED ALL AGES,RM,57,7449,Pave,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1950,Gable,CompShg,Wd Sdng,Wd Sdng,0,TA,TA,PConc,TA,TA,No,Unf,Unf,637,637,GasA,Ex,Y,FuseF,1108,0,1108,3,1,Gd,6,Typ,1,Gd,Attchd,1930,Unf,1,280,TA,TA,N,No,GdPrv,No,0,Jun,2007,WD,Normal,139400,79.88538681948424,77,1745,1.0,205,1108,14,280,0,2007-06-01,0.0
22,1-STORY 1946 & NEWER ALL STYLES,RL,75,9742,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,Hip,CompShg,VinylSd,VinylSd,281,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1777,1777,GasA,Ex,Y,SBrkr,1795,0,1795,3,1,Gd,7,Typ,1,Gd,Attchd,2002,RFn,2,534,TA,TA,Y,No,No,No,0,Sep,2008,WD,Normal,230000,64.38969764837626,6,3572,2.0,159,1795,13,1068,330,2008-09-01,0.0
23,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RM,44,4224,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,Gable,CompShg,CemntBd,CmentBd,0,TA,TA,PConc,Gd,TA,No,GLQ,Unf,200,1040,GasA,TA,Y,SBrkr,1060,0,1060,3,1,TA,6,Typ,1,TA,Attchd,1976,Unf,2,572,TA,TA,Y,No,No,No,0,Jun,2007,WD,Normal,129900,61.857142857142854,31,2100,1.0,110,1900,12,1144,210,2007-06-01,0.0
24,1-STORY 1946 & NEWER ALL STYLES,RL,0,8246,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,2001,Gable,CompShg,Plywood,Plywood,0,TA,Gd,CBlock,TA,TA,Mn,Rec,ALQ,204,1060,GasA,Ex,Y,SBrkr,1060,0,1060,3,1,Gd,6,Typ,1,TA,Attchd,1968,Unf,1,270,TA,TA,Y,No,MnPrv,No,0,May,2010,WD,Normal,154000,72.64150943396227,42,2120,1.0,90,1916,13,270,496,2010-05-01,0.0
25,1-STORY 1946 & NEWER ALL STYLES,RL,110,14230,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,VinylSd,640,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1566,1566,GasA,Ex,Y,SBrkr,1600,0,1600,3,1,Gd,7,Typ,1,Gd,Attchd,2007,RFn,3,890,TA,TA,Y,No,No,No,0,Jul,2009,WD,Normal,256300,80.95388502842704,2,3166,2.0,56,1600,13,2670,56,2009-07-01,0.0
26,1-STORY 1946 & NEWER ALL STYLES,RL,60,7200,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,2000,Gable,CompShg,Wd Sdng,Wd Sdng,0,TA,TA,CBlock,TA,TA,Mn,BLQ,Rec,180,900,GasA,TA,Y,SBrkr,900,0,900,3,1,Gd,5,Typ,0,No,Detchd,2005,Unf,2,576,TA,TA,Y,No,No,No,0,May,2010,WD,Normal,134800,74.88888888888889,59,1800,1.0,32,1620,12,1152,254,2010-05-01,0.0
27,1-STORY 1946 & NEWER ALL STYLES,RL,98,11478,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2008,Gable,CompShg,VinylSd,VinylSd,200,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,486,1704,GasA,Ex,Y,SBrkr,1704,0,1704,3,1,Gd,7,Typ,1,Gd,Attchd,2008,RFn,3,772,TA,TA,Y,No,No,No,0,May,2010,WD,Normal,306000,89.78873239436619,3,3408,2.0,50,2922,13,2316,50,2010-05-01,0.0
28,1-STORY 1946 & NEWER ALL STYLES,RL,47,16321,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1997,Gable,CompShg,MetalSd,MetalSd,0,TA,TA,CBlock,TA,TA,Gd,BLQ,Unf,207,1484,GasA,TA,Y,SBrkr,1600,0,1600,2,1,TA,6,Typ,2,Gd,Attchd,1957,RFn,1,319,TA,TA,Y,No,No,No,0,Dec,2006,WD,Normal,207500,67.28274967574579,49,3084,1.0,258,2877,11,319,546,2006-12-01,0.0
29,1-STORY 1945 & OLDER,RM,60,6324,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1950,Gable,CompShg,MetalSd,MetalSd,0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,520,520,GasA,Fa,N,SBrkr,520,0,520,1,1,Fa,4,Typ,0,No,Detchd,1920,Unf,1,240,Fa,TA,Y,No,No,No,0,May,2008,WD,Normal,68500,65.86538461538461,81,1040,1.0,87,520,10,240,49,2008-05-01,0.0
30,2-STORY 1945 & OLDER,C (all),50,8500,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1950,Gambrel,CompShg,BrkFace,BrkFace,0,TA,Fa,BrkTil,TA,TA,No,Unf,Unf,649,649,GasA,TA,N,SBrkr,649,0,1317,3,1,TA,6,Typ,0,No,Detchd,1920,Unf,1,250,TA,Fa,N,No,MnPrv,No,0,Jul,2008,WD,Normal,40000,20.345879959308242,88,1966,1.0,226,1317,8,250,54,2008-07-01,0.0
31,1-STORY 1946 & NEWER ALL STYLES,RL,0,8544,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,2006,Gable,CompShg,HdBoard,HdBoard,0,TA,TA,CBlock,TA,TA,No,Unf,Unf,1228,1228,GasA,Gd,Y,SBrkr,1228,0,1228,3,1,Gd,6,Typ,0,No,Attchd,1966,Unf,1,271,TA,TA,Y,No,MnPrv,No,0,Jun,2008,WD,Normal,149350,60.81026058631922,42,2456,1.5,65,1228,11,271,65,2008-06-01,0.0
32,1-STORY 1946 & NEWER ALL STYLES,RL,85,11049,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,VinylSd,0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1234,1234,GasA,Ex,Y,SBrkr,1234,0,1234,3,1,Gd,7,Typ,0,No,Attchd,2007,RFn,2,484,TA,TA,Y,No,No,No,0,Jan,2008,WD,Normal,179900,72.89303079416531,1,2468,2.0,30,1234,13,968,30,2008-01-01,0.0
33,1-STORY 1946 & NEWER ALL STYLES,RL,70,10552,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,Hip,CompShg,BrkFace,BrkFace,0,TA,TA,CBlock,TA,TA,No,Rec,Unf,380,1398,GasA,Gd,Y,SBrkr,1700,0,1700,4,1,Gd,6,Typ,1,Gd,Attchd,1959,RFn,2,447,TA,TA,Y,No,No,No,0,Apr,2010,WD,Normal,165500,53.42156229825694,51,3098,1.5,38,2718,10,894,38,2010-04-01,0.0
34,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,60,7313,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,Hip,CompShg,MetalSd,MetalSd,246,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,408,1561,GasA,Ex,Y,SBrkr,1561,0,1561,2,1,Ex,6,Typ,1,Gd,Attchd,2005,Fin,2,556,TA,TA,Y,No,No,No,0,Aug,2007,WD,Normal,277500,88.88532991672005,2,3122,2.0,47,2714,14,1112,250,2007-08-01,0.0
35,2-STORY 1946 & NEWER,RL,108,13418,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,Gable,CompShg,VinylSd,VinylSd,132,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1117,1117,GasA,Ex,Y,SBrkr,1132,0,2452,4,1,Gd,9,Typ,1,Gd,BuiltIn,2004,Fin,3,691,TA,TA,Y,No,No,No,0,Sep,2006,WD,Normal,309000,86.57887363407117,2,3569,3.5,32,2452,13,2073,145,2006-09-01,0.0
36,1-STORY 1946 & NEWER ALL STYLES,RL,112,10859,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1995,Gable,CompShg,VinylSd,VinylSd,0,TA,TA,PConc,Gd,TA,No,Unf,Unf,1097,1097,GasA,Ex,Y,SBrkr,1097,0,1097,3,1,TA,6,Typ,0,No,Attchd,1995,Unf,2,672,TA,TA,Y,No,No,No,0,Jun,2009,WD,Normal,145000,66.08933454876937,15,2194,1.5,64,1097,10,1344,456,2009-06-01,0.0
37,1-STORY 1946 & NEWER ALL STYLES,RL,74,8532,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1990,Hip,CompShg,Wd Sdng,Wd Sdng,650,TA,TA,CBlock,TA,TA,No,Rec,Unf,84,1297,GasA,Gd,Y,SBrkr,1297,0,1297,3,1,TA,5,Typ,1,TA,Attchd,1954,Fin,2,498,TA,TA,Y,No,No,No,0,Oct,2009,WD,Normal,153000,58.982266769468005,55,2594,1.0,0,2510,11,996,0,2009-10-01,0.0
38,1-STORY 1946 & NEWER ALL STYLES,RL,68,7922,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,2007,Gable,CompShg,VinylSd,VinylSd,0,TA,Gd,CBlock,TA,TA,No,GLQ,Unf,326,1057,GasA,TA,Y,SBrkr,1057,0,1057,3,1,Gd,5,Typ,0,No,Detchd,1953,Unf,1,246,TA,TA,Y,No,No,No,0,Jan,2010,WD,Abnorml,109000,51.561021759697255,57,2114,1.0,52,1788,12,246,52,2010-01-01,0.0
39,DUPLEX - ALL STYLES AND AGES,RL,65,6040,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,Gable,CompShg,AsbShng,Plywood,0,TA,TA,PConc,No,No,No,No,No,0,0,GasA,TA,N,FuseP,1152,0,1152,2,2,Fa,6,Typ,0,No,No,2005,No,0,0,No,No,N,No,No,No,0,Jun,2008,WD,AdjLand,82000,71.18055555555556,53,1152,2.0,0,1152,9,0,0,2008-06-01,0.0
40,1-STORY 1946 & NEWER ALL STYLES,RL,84,8658,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,Gable,CompShg,Wd Sdng,Wd Sdng,101,TA,TA,CBlock,TA,TA,No,Rec,Unf,445,1088,GasA,Ex,Y,SBrkr,1324,0,1324,3,1,TA,6,Typ,1,TA,Attchd,1965,RFn,2,440,TA,TA,Y,No,GdWo,No,0,Dec,2006,WD,Abnorml,160000,66.33499170812604,41,2412,2.0,138,1967,11,880,138,2006-12-01,0.0
41,1-STORY 1946 & NEWER ALL STYLES,RL,115,16905,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,Gable,CompShg,VinylSd,VinylSd,0,TA,Gd,CBlock,TA,TA,Gd,BLQ,Unf,383,1350,GasA,Gd,Y,SBrkr,1328,0,1328,2,1,TA,5,Typ,2,Gd,Attchd,1959,RFn,1,308,TA,TA,P,No,No,No,0,Jul,2007,WD,Normal,170000,63.48020911127707,48,2678,1.5,104,2295,11,308,104,2007-07-01,0.0
42,SPLIT FOYER,RL,0,9180,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,Gable,CompShg,HdBoard,HdBoard,0,TA,TA,CBlock,Gd,TA,Av,ALQ,LwQ,0,840,GasA,Gd,Y,SBrkr,884,0,884,2,1,Gd,5,Typ,0,No,Attchd,1983,RFn,2,504,TA,Gd,Y,No,MnPrv,No,0,Dec,2007,WD,Normal,144000,83.52668213457076,24,1724,1.0,0,1724,12,1008,240,2007-12-01,0.0
43,1-STORY 1946 & NEWER ALL STYLES,RL,0,9200,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1980,Hip,CompShg,VinylSd,VinylSd,0,TA,TA,CBlock,Gd,TA,Av,LwQ,BLQ,167,938,GasA,TA,Y,SBrkr,938,0,938,3,1,TA,5,Typ,0,No,Detchd,1977,Unf,1,308,TA,TA,Y,No,MnPrv,No,0,Jul,2008,WD,Normal,130250,69.42963752665246,33,1876,1.0,0,1709,11,308,145,2008-07-01,0.0
44,1-STORY 1946 & NEWER ALL STYLES,RL,70,7945,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,Gable,CompShg,BrkFace,Wd Sdng,0,TA,TA,CBlock,TA,TA,No,ALQ,BLQ,465,1150,GasA,Ex,Y,FuseA,1150,0,1150,3,1,TA,6,Typ,0,No,Attchd,1959,RFn,1,300,TA,TA,Y,No,No,No,0,May,2006,WD,Normal,141000,61.30434782608695,47,2300,1.0,0,1835,11,300,0,2006-05-01,0.0
45,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,61,7658,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,Hip,CompShg,MetalSd,MetalSd,412,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,1296,1752,GasA,Ex,Y,SBrkr,1752,0,1752,2,1,Ex,6,Typ,1,Gd,Attchd,2005,RFn,2,576,TA,TA,Y,No,No,No,0,Feb,2010,WD,Normal,319900,91.29566210045662,5,3504,2.0,82,2208,14,1152,278,2010-02-01,0.0
